Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
De Olhos Bem Fechados,(1999),"
Drama, Mystery, Thriller            ",159 min,7.4,$55.69M,"282,395",68        ,Stanley Kubrick,":
Tom Cruise, 
Nicole Kidman, 
Todd Field, 
Sydney Pollack
"
10 Coisas que Eu Odeio em Você,(1999),"
Comedy, Drama, Romance            ",97 min,7.3,$38.18M,"278,848",70        ,Gil Junger,":
Heath Ledger, 
Julia Stiles, 
Joseph Gordon-Levitt, 
Larisa Oleynik
"
A Múmia,(1999),"
Action, Adventure, Fantasy            ",124 min,7.0,$155.25M,"374,979",48        ,Stephen Sommers,":
Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo
"
"Garota, Interrompida",(1999),"
Biography, Drama            ",127 min,7.3,$28.87M,"153,341",51        ,James Mangold,":
Winona Ryder, 
Angelina Jolie, 
Clea DuVall, 
Brittany Murphy
"
Nunca Fui Beijada,(1999),"
Comedy, Drama, Romance            ",107 min,6.1,$55.47M,"79,450",60        ,Raja Gosnell,":
Drew Barrymore, 
David Arquette, 
Michael Vartan, 
Molly Shannon
"
O Sexto Sentido,(1999),"
Drama, Mystery, Thriller            ",107 min,8.1,$293.51M,"869,017",64        ,M. Night Shyamalan,":
Bruce Willis, 
Haley Joel Osment, 
Toni Collette, 
Olivia Williams
"
As Loucas Aventuras de James West,(1999),"
Action, Comedy, Sci-Fi            ",106 min,4.9,$113.81M,"147,597",38        ,Barry Sonnenfeld,":
Will Smith, 
Kevin Kline, 
Kenneth Branagh, 
Salma Hayek
"
Palácio das Ilusões,(1999),"
Comedy, Drama, Romance            ",112 min,7.1,$4.76M,"20,589",71        ,Patricia Rozema,":
Frances O'Connor, 
Jonny Lee Miller, 
Alessandro Nivola, 
Hannah Taylor Gordon
"
Como Enlouquecer seu Chefe,(1999),"
Comedy            ",89 min,7.7,$10.82M,"232,290",68        ,Mike Judge,":
Ron Livingston, 
Jennifer Aniston, 
David Herman, 
Ajay Naidu
"
Marcação Cerrada,(1999),"
Comedy, Drama, Romance            ",106 min,6.5,$52.89M,"40,218",50        ,Brian Robbins,":
James Van Der Beek, 
Jon Voight, 
Paul Walker, 
Ron Lester
"
Toy Story 2,(1999),"
Animation, Adventure, Comedy            ",92 min,7.9,$245.85M,"496,784",88        ,John Lasseter,":
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Kelsey Grammer
"
007 - O Mundo Não é o Bastante,(1999),"
Action, Adventure, Thriller            ",128 min,6.4,$126.94M,"180,223",57        ,Michael Apted,":
Pierce Brosnan, 
Sophie Marceau, 
Robert Carlyle, 
Denise Richards
"
Dogma,(1999),"
Adventure, Comedy, Drama            ",130 min,7.3,$30.65M,"202,150",62        ,Kevin Smith,":
Ben Affleck, 
Matt Damon, 
Linda Fiorentino, 
Bud Cort
"
